Date,Donor Country,Aid Type,Value (USD),Description,Source
2022-07-26,UK,Financial,70094149,Aid package for Ukraine,Simulated
2022-07-27,Canada,Humanitarian,14345945,Aid package for Ukraine,Simulated
2022-07-28,France,Financial,85243414,Aid package for Ukraine,Simulated
2022-07-29,Germany,Financial,28948583,Aid package for Ukraine,Simulated
2022-07-30,France,Financial,43720251,Aid package for Ukraine,Simulated
2022-07-31,USA,Military,24525420,Aid package for Ukraine,Simulated
2022-08-01,USA,Military,7061007,Aid package for Ukraine,Simulated
2022-08-02,Germany,Military,73498549,Aid package for Ukraine,Simulated
2022-08-03,Canada,Military,88017159,Aid package for Ukraine,Simulated
2022-08-04,USA,Military,25047385,Aid package for Ukraine,Simulated
2022-08-05,France,Military,51021452,Aid package for Ukraine,Simulated
2022-08-06,Germany,Humanitarian,78678406,Aid package for Ukraine,Simulated
2022-08-07,UK,Financial,44409943,Aid package for Ukraine,Simulated
2022-08-08,USA,Financial,5496364,Aid package for Ukraine,Simulated
2022-08-09,France,Military,20080915,Aid package for Ukraine,Simulated
2022-08-10,Germany,Military,97962423,Aid package for Ukraine,Simulated
2022-08-11,Germany,Financial,23557137,Aid package for Ukraine,Simulated
2022-08-12,France,Financial,33879691,Aid package for Ukraine,Simulated
2022-08-13,Canada,Military,51826246,Aid package for Ukraine,Simulated
2022-08-14,Germany,Military,57614217,Aid package for Ukraine,Simulated
2022-08-15,UK,Financial,3775442,Aid package for Ukraine,Simulated
2022-08-16,USA,Military,73522818,Aid package for Ukraine,Simulated
2022-08-17,Canada,Humanitarian,32008721,Aid package for Ukraine,Simulated
2022-08-18,UK,Financial,9983049,Aid package for Ukraine,Simulated
2022-08-19,UK,Military,17503214,Aid package for Ukraine,Simulated
2022-08-20,France,Humanitarian,59020750,Aid package for Ukraine,Simulated
2022-08-21,USA,Military,59427755,Aid package for Ukraine,Simulated
2022-08-22,UK,Financial,55410551,Aid package for Ukraine,Simulated
2022-08-23,Canada,Humanitarian,58174226,Aid package for Ukraine,Simulated
2022-08-24,Germany,Military,56397294,Aid package for Ukraine,Simulated
2022-08-25,Germany,Humanitarian,50942144,Aid package for Ukraine,Simulated
2022-08-26,Canada,Humanitarian,54195740,Aid package for Ukraine,Simulated
2022-08-27,Canada,Humanitarian,92111203,Aid package for Ukraine,Simulated
2022-08-28,USA,Military,17917292,Aid package for Ukraine,Simulated
2022-08-29,Germany,Financial,15848195,Aid package for Ukraine,Simulated
2022-08-30,Canada,Humanitarian,43489755,Aid package for Ukraine,Simulated
2022-08-31,UK,Financial,2719799,Aid package for Ukraine,Simulated
2022-09-01,Canada,Military,23852538,Aid package for Ukraine,Simulated
2022-09-02,France,Military,27921793,Aid package for Ukraine,Simulated
2022-09-03,Canada,Financial,83561901,Aid package for Ukraine,Simulated
2022-09-04,USA,Financial,7801361,Aid package for Ukraine,Simulated
2022-09-05,Germany,Military,77674326,Aid package for Ukraine,Simulated
2022-09-06,USA,Military,94786409,Aid package for Ukraine,Simulated
2022-09-07,Germany,Humanitarian,35326472,Aid package for Ukraine,Simulated
2022-09-08,Germany,Humanitarian,18153018,Aid package for Ukraine,Simulated
2022-09-09,UK,Humanitarian,76952204,Aid package for Ukraine,Simulated
2022-09-10,USA,Humanitarian,25000239,Aid package for Ukraine,Simulated
2022-09-11,Germany,Military,89190295,Aid package for Ukraine,Simulated
2022-09-12,USA,Humanitarian,21328681,Aid package for Ukraine,Simulated
2022-09-13,Canada,Financial,84080747,Aid package for Ukraine,Simulated
2022-09-14,Germany,Humanitarian,17898730,Aid package for Ukraine,Simulated
2022-09-15,France,Financial,14819911,Aid package for Ukraine,Simulated
2022-09-16,France,Financial,84272806,Aid package for Ukraine,Simulated
2022-09-17,Germany,Humanitarian,27274595,Aid package for Ukraine,Simulated
2022-09-18,France,Military,3235826,Aid package for Ukraine,Simulated
2022-09-19,Canada,Humanitarian,31187014,Aid package for Ukraine,Simulated
2022-09-20,UK,Humanitarian,72109294,Aid package for Ukraine,Simulated
2022-09-21,USA,Military,95024695,Aid package for Ukraine,Simulated
2022-09-22,Canada,Military,50254548,Aid package for Ukraine,Simulated
2022-09-23,USA,Humanitarian,75994805,Aid package for Ukraine,Simulated
2022-09-24,UK,Financial,35578776,Aid package for Ukraine,Simulated
2022-09-25,UK,Humanitarian,71988243,Aid package for Ukraine,Simulated
2022-09-26,France,Financial,33740821,Aid package for Ukraine,Simulated
2022-09-27,France,Financial,86484899,Aid package for Ukraine,Simulated
2022-09-28,Germany,Financial,56409692,Aid package for Ukraine,Simulated
2022-09-29,UK,Military,29938346,Aid package for Ukraine,Simulated
2022-09-30,UK,Financial,30272746,Aid package for Ukraine,Simulated
2022-10-01,France,Financial,82331794,Aid package for Ukraine,Simulated
2022-10-02,USA,Humanitarian,79192866,Aid package for Ukraine,Simulated
2022-10-03,UK,Humanitarian,85263282,Aid package for Ukraine,Simulated
2022-10-04,USA,Military,76878162,Aid package for Ukraine,Simulated
2022-10-05,France,Financial,25652692,Aid package for Ukraine,Simulated
2022-10-06,France,Financial,34939713,Aid package for Ukraine,Simulated
2022-10-07,Canada,Military,52554593,Aid package for Ukraine,Simulated
2022-10-08,Canada,Humanitarian,9727775,Aid package for Ukraine,Simulated
2022-10-09,Germany,Financial,51976046,Aid package for Ukraine,Simulated
2022-10-10,USA,Humanitarian,67986347,Aid package for Ukraine,Simulated
2022-10-11,UK,Military,53864678,Aid package for Ukraine,Simulated
2022-10-12,Germany,Humanitarian,67675185,Aid package for Ukraine,Simulated
2022-10-13,Germany,Military,95176929,Aid package for Ukraine,Simulated
2022-10-14,UK,Humanitarian,65866010,Aid package for Ukraine,Simulated
2022-10-15,Canada,Military,37232945,Aid package for Ukraine,Simulated
2022-10-16,UK,Financial,59739111,Aid package for Ukraine,Simulated
2022-10-17,Canada,Military,8349252,Aid package for Ukraine,Simulated
2022-10-18,USA,Humanitarian,24551115,Aid package for Ukraine,Simulated
2022-10-19,Canada,Humanitarian,48144851,Aid package for Ukraine,Simulated
2022-10-20,Germany,Humanitarian,8998952,Aid package for Ukraine,Simulated
2022-10-21,France,Financial,46018901,Aid package for Ukraine,Simulated
2022-10-22,France,Financial,92029456,Aid package for Ukraine,Simulated
2022-10-23,France,Humanitarian,12282375,Aid package for Ukraine,Simulated
2022-10-24,Canada,Military,2164107,Aid package for Ukraine,Simulated
2022-10-25,Germany,Financial,85259765,Aid package for Ukraine,Simulated
2022-10-26,UK,Financial,16291403,Aid package for Ukraine,Simulated
2022-10-27,UK,Financial,50745328,Aid package for Ukraine,Simulated
2022-10-28,Canada,Military,98700370,Aid package for Ukraine,Simulated
2022-10-29,Germany,Financial,7665784,Aid package for Ukraine,Simulated
2022-10-30,France,Humanitarian,3581553,Aid package for Ukraine,Simulated
2022-10-31,Canada,Military,55477349,Aid package for Ukraine,Simulated
2022-11-01,Canada,Financial,99122348,Aid package for Ukraine,Simulated
2022-11-02,Canada,Humanitarian,55422151,Aid package for Ukraine,Simulated
2022-11-03,USA,Financial,65449920,Aid package for Ukraine,Simulated
2022-11-04,Canada,Financial,69766149,Aid package for Ukraine,Simulated
2022-11-05,France,Humanitarian,35219218,Aid package for Ukraine,Simulated
2022-11-06,UK,Military,94354445,Aid package for Ukraine,Simulated
2022-11-07,France,Military,40084243,Aid package for Ukraine,Simulated
2022-11-08,Canada,Military,57546655,Aid package for Ukraine,Simulated
2022-11-09,UK,Military,70956755,Aid package for Ukraine,Simulated
2022-11-10,UK,Military,72846416,Aid package for Ukraine,Simulated
2022-11-11,USA,Financial,31212466,Aid package for Ukraine,Simulated
2022-11-12,Canada,Military,50839137,Aid package for Ukraine,Simulated
2022-11-13,Canada,Humanitarian,24934806,Aid package for Ukraine,Simulated
2022-11-14,Canada,Humanitarian,18471037,Aid package for Ukraine,Simulated
2022-11-15,Germany,Military,51746206,Aid package for Ukraine,Simulated
2022-11-16,Germany,Military,91062176,Aid package for Ukraine,Simulated
2022-11-17,France,Military,58800443,Aid package for Ukraine,Simulated
2022-11-18,Germany,Humanitarian,89676531,Aid package for Ukraine,Simulated
2022-11-19,USA,Humanitarian,45989897,Aid package for Ukraine,Simulated
2022-11-20,USA,Financial,39606771,Aid package for Ukraine,Simulated
2022-11-21,Canada,Humanitarian,92737393,Aid package for Ukraine,Simulated
2022-11-22,Canada,Military,96885955,Aid package for Ukraine,Simulated
2022-11-23,France,Military,73903551,Aid package for Ukraine,Simulated
2022-11-24,USA,Military,56460300,Aid package for Ukraine,Simulated
2022-11-25,Germany,Financial,45008425,Aid package for Ukraine,Simulated
2022-11-26,France,Humanitarian,89708147,Aid package for Ukraine,Simulated
2022-11-27,UK,Military,13680983,Aid package for Ukraine,Simulated
2022-11-28,France,Military,32620927,Aid package for Ukraine,Simulated
2022-11-29,USA,Humanitarian,66110942,Aid package for Ukraine,Simulated
2022-11-30,Canada,Military,84105578,Aid package for Ukraine,Simulated
2022-12-01,UK,Humanitarian,74785185,Aid package for Ukraine,Simulated
2022-12-02,UK,Humanitarian,78785642,Aid package for Ukraine,Simulated
2022-12-03,UK,Humanitarian,11583092,Aid package for Ukraine,Simulated
2022-12-04,Germany,Financial,90953572,Aid package for Ukraine,Simulated
2022-12-05,USA,Military,61955237,Aid package for Ukraine,Simulated
2022-12-06,UK,Financial,1437699,Aid package for Ukraine,Simulated
2022-12-07,Germany,Financial,84114455,Aid package for Ukraine,Simulated
2022-12-08,UK,Financial,91763737,Aid package for Ukraine,Simulated
2022-12-09,UK,Financial,83963605,Aid package for Ukraine,Simulated
2022-12-10,USA,Military,58111269,Aid package for Ukraine,Simulated
2022-12-11,Canada,Military,81040748,Aid package for Ukraine,Simulated
2022-12-12,Canada,Military,8127540,Aid package for Ukraine,Simulated
2022-12-13,Germany,Humanitarian,55813950,Aid package for Ukraine,Simulated
2022-12-14,UK,Humanitarian,16028531,Aid package for Ukraine,Simulated
2022-12-15,France,Financial,21823406,Aid package for Ukraine,Simulated
2022-12-16,Germany,Humanitarian,83055911,Aid package for Ukraine,Simulated
2022-12-17,USA,Humanitarian,57164896,Aid package for Ukraine,Simulated
2022-12-18,Canada,Financial,45543366,Aid package for Ukraine,Simulated
2022-12-19,Germany,Financial,67038195,Aid package for Ukraine,Simulated
2022-12-20,Canada,Military,50263249,Aid package for Ukraine,Simulated
2022-12-21,Germany,Humanitarian,62412429,Aid package for Ukraine,Simulated
2022-12-22,UK,Financial,16186717,Aid package for Ukraine,Simulated
2022-12-23,France,Financial,20495731,Aid package for Ukraine,Simulated
2022-12-24,UK,Financial,5136114,Aid package for Ukraine,Simulated
2022-12-25,Germany,Humanitarian,54891117,Aid package for Ukraine,Simulated
2022-12-26,France,Military,65930768,Aid package for Ukraine,Simulated
2022-12-27,USA,Military,33033958,Aid package for Ukraine,Simulated
2022-12-28,France,Humanitarian,47891598,Aid package for Ukraine,Simulated
2022-12-29,Canada,Financial,95798948,Aid package for Ukraine,Simulated
2022-12-30,Canada,Military,58086675,Aid package for Ukraine,Simulated
2022-12-31,USA,Humanitarian,61417599,Aid package for Ukraine,Simulated
2023-01-01,UK,Financial,97114937,Aid package for Ukraine,Simulated
2023-01-02,France,Military,94067630,Aid package for Ukraine,Simulated
2023-01-03,Germany,Humanitarian,75964979,Aid package for Ukraine,Simulated
2023-01-04,Canada,Financial,14082010,Aid package for Ukraine,Simulated
2023-01-05,Germany,Humanitarian,67674665,Aid package for Ukraine,Simulated
2023-01-06,Germany,Financial,39458712,Aid package for Ukraine,Simulated
2023-01-07,France,Humanitarian,37764189,Aid package for Ukraine,Simulated
2023-01-08,Germany,Humanitarian,46720400,Aid package for Ukraine,Simulated
2023-01-09,Canada,Military,25284685,Aid package for Ukraine,Simulated
2023-01-10,UK,Humanitarian,29942624,Aid package for Ukraine,Simulated
2023-01-11,USA,Humanitarian,36055673,Aid package for Ukraine,Simulated
2023-01-12,France,Financial,76506971,Aid package for Ukraine,Simulated
2023-01-13,Germany,Military,84072212,Aid package for Ukraine,Simulated
2023-01-14,Canada,Military,26082508,Aid package for Ukraine,Simulated
2023-01-15,UK,Humanitarian,42089543,Aid package for Ukraine,Simulated
2023-01-16,Canada,Humanitarian,5337775,Aid package for Ukraine,Simulated
2023-01-17,USA,Financial,5564825,Aid package for Ukraine,Simulated
2023-01-18,Canada,Military,98780802,Aid package for Ukraine,Simulated
2023-01-19,Germany,Humanitarian,77549822,Aid package for Ukraine,Simulated
2023-01-20,Canada,Humanitarian,99175737,Aid package for Ukraine,Simulated
2023-01-21,USA,Military,29986960,Aid package for Ukraine,Simulated
2023-01-22,USA,Financial,17165719,Aid package for Ukraine,Simulated
2023-01-23,Canada,Financial,66830397,Aid package for Ukraine,Simulated
2023-01-24,France,Military,90133678,Aid package for Ukraine,Simulated
2023-01-25,Canada,Military,88964812,Aid package for Ukraine,Simulated
2023-01-26,UK,Military,3386546,Aid package for Ukraine,Simulated
2023-01-27,France,Financial,73964033,Aid package for Ukraine,Simulated
2023-01-28,Canada,Humanitarian,39091973,Aid package for Ukraine,Simulated
2023-01-29,UK,Financial,61917761,Aid package for Ukraine,Simulated
2023-01-30,Canada,Financial,88565282,Aid package for Ukraine,Simulated
2023-01-31,USA,Financial,66347432,Aid package for Ukraine,Simulated
2023-02-01,Canada,Financial,56795937,Aid package for Ukraine,Simulated
2023-02-02,UK,Humanitarian,4079113,Aid package for Ukraine,Simulated
2023-02-03,UK,Military,7344015,Aid package for Ukraine,Simulated
2023-02-04,Germany,Military,32284845,Aid package for Ukraine,Simulated
2023-02-05,Canada,Financial,49875004,Aid package for Ukraine,Simulated
2023-02-06,Canada,Military,3452595,Aid package for Ukraine,Simulated
2023-02-07,Germany,Humanitarian,38983799,Aid package for Ukraine,Simulated
2023-02-08,France,Humanitarian,83923458,Aid package for Ukraine,Simulated
2023-02-09,Canada,Financial,6183032,Aid package for Ukraine,Simulated
2023-02-10,USA,Humanitarian,4589919,Aid package for Ukraine,Simulated
2023-02-11,France,Humanitarian,39434806,Aid package for Ukraine,Simulated
2023-02-12,Germany,Financial,81699937,Aid package for Ukraine,Simulated
2023-02-13,Canada,Financial,9523807,Aid package for Ukraine,Simulated
2023-02-14,UK,Financial,48353605,Aid package for Ukraine,Simulated
2023-02-15,Germany,Military,53561308,Aid package for Ukraine,Simulated
2023-02-16,Canada,Military,13195295,Aid package for Ukraine,Simulated
2023-02-17,Canada,Humanitarian,10175175,Aid package for Ukraine,Simulated
2023-02-18,Germany,Humanitarian,60734401,Aid package for Ukraine,Simulated
2023-02-19,Germany,Military,3999081,Aid package for Ukraine,Simulated
2023-02-20,France,Financial,19785930,Aid package for Ukraine,Simulated
2023-02-21,France,Financial,24162716,Aid package for Ukraine,Simulated
2023-02-22,UK,Military,53377328,Aid package for Ukraine,Simulated
2023-02-23,UK,Humanitarian,95384406,Aid package for Ukraine,Simulated
2023-02-24,Germany,Financial,44764371,Aid package for Ukraine,Simulated
2023-02-25,USA,Military,20595772,Aid package for Ukraine,Simulated
2023-02-26,UK,Financial,10127752,Aid package for Ukraine,Simulated
2023-02-27,Canada,Military,67602770,Aid package for Ukraine,Simulated
2023-02-28,France,Military,14320152,Aid package for Ukraine,Simulated
2023-03-01,Germany,Military,98851673,Aid package for Ukraine,Simulated
2023-03-02,USA,Humanitarian,45113672,Aid package for Ukraine,Simulated
2023-03-03,Canada,Humanitarian,56548200,Aid package for Ukraine,Simulated
2023-03-04,Germany,Humanitarian,80885974,Aid package for Ukraine,Simulated
2023-03-05,UK,Military,82810556,Aid package for Ukraine,Simulated
2023-03-06,UK,Humanitarian,11148946,Aid package for Ukraine,Simulated
2023-03-07,France,Military,74346546,Aid package for Ukraine,Simulated
2023-03-08,Germany,Humanitarian,87873336,Aid package for Ukraine,Simulated
2023-03-09,UK,Humanitarian,92395494,Aid package for Ukraine,Simulated
2023-03-10,France,Financial,83757100,Aid package for Ukraine,Simulated
2023-03-11,Canada,Military,27075397,Aid package for Ukraine,Simulated
2023-03-12,France,Military,53472551,Aid package for Ukraine,Simulated
2023-03-13,USA,Humanitarian,25460888,Aid package for Ukraine,Simulated
2023-03-14,Germany,Humanitarian,52222907,Aid package for Ukraine,Simulated
2023-03-15,Germany,Financial,83559801,Aid package for Ukraine,Simulated
2023-03-16,UK,Military,55386843,Aid package for Ukraine,Simulated
2023-03-17,Germany,Military,48556543,Aid package for Ukraine,Simulated
2023-03-18,UK,Military,43392132,Aid package for Ukraine,Simulated
2023-03-19,USA,Financial,35527236,Aid package for Ukraine,Simulated
2023-03-20,Canada,Military,81454110,Aid package for Ukraine,Simulated
2023-03-21,UK,Humanitarian,59947474,Aid package for Ukraine,Simulated
2023-03-22,France,Humanitarian,9974899,Aid package for Ukraine,Simulated
2023-03-23,Canada,Military,35007882,Aid package for Ukraine,Simulated
2023-03-24,France,Humanitarian,67521297,Aid package for Ukraine,Simulated
2023-03-25,Germany,Humanitarian,48403109,Aid package for Ukraine,Simulated
2023-03-26,USA,Military,39143454,Aid package for Ukraine,Simulated
2023-03-27,Germany,Humanitarian,34637095,Aid package for Ukraine,Simulated
2023-03-28,UK,Financial,31132633,Aid package for Ukraine,Simulated
2023-03-29,France,Financial,63310638,Aid package for Ukraine,Simulated
2023-03-30,Germany,Military,18548794,Aid package for Ukraine,Simulated
