Date,Host Country,Refugees In,Refugees Out,Internally Displaced Persons (IDPs),Source
2022-03-19,Germany,401,435,5372,Simulated
2022-03-19,Romania,885,353,6010,Simulated
2022-03-19,Moldova,484,399,653,Simulated
2022-03-20,Poland,855,241,802,Simulated
2022-03-20,Germany,212,184,7293,Simulated
2022-03-20,Romania,769,165,4051,Simulated
2022-03-20,Moldova,443,91,8904,Simulated
2022-03-21,Poland,484,99,154,Simulated
2022-03-21,Germany,524,28,6263,Simulated
2022-03-21,Romania,374,289,5518,Simulated
2022-03-21,Moldova,383,428,3616,Simulated
2022-03-22,Poland,897,59,204,Simulated
2022-03-22,Germany,981,412,3369,Simulated
2022-03-22,Romania,960,277,6920,Simulated
2022-03-22,Moldova,535,478,5027,Simulated
2022-03-23,Poland,367,287,3152,Simulated
2022-03-23,Germany,787,243,5673,Simulated
2022-03-23,Romania,296,4,4042,Simulated
2022-03-23,Moldova,898,456,2674,Simulated
2022-03-24,Poland,153,400,4099,Simulated
2022-03-24,Germany,814,112,9221,Simulated
2022-03-24,Romania,473,117,3492,Simulated
2022-03-24,Moldova,860,266,3643,Simulated
2022-03-25,Poland,386,105,8724,Simulated
2022-03-25,Germany,424,471,7712,Simulated
2022-03-25,Romania,540,284,6552,Simulated
2022-03-25,Moldova,430,126,5449,Simulated
2022-03-26,Poland,517,222,1355,Simulated
2022-03-26,Germany,195,499,7,Simulated
2022-03-26,Romania,320,372,8005,Simulated
2022-03-26,Moldova,475,327,4347,Simulated
2022-03-27,Poland,619,454,3719,Simulated
2022-03-27,Germany,218,36,7859,Simulated
2022-03-27,Romania,413,195,7371,Simulated
2022-03-27,Moldova,133,499,7174,Simulated
2022-03-28,Poland,479,337,1229,Simulated
2022-03-28,Germany,913,39,1745,Simulated
2022-03-28,Romania,641,294,8553,Simulated
2022-03-28,Moldova,812,37,5081,Simulated
2022-03-29,Poland,194,227,527,Simulated
2022-03-29,Germany,607,400,8066,Simulated
2022-03-29,Romania,634,430,8747,Simulated
2022-03-29,Moldova,373,53,6486,Simulated
2022-03-30,Poland,913,115,7780,Simulated
2022-03-30,Germany,703,108,1413,Simulated
2022-03-30,Romania,313,168,2445,Simulated
2022-03-30,Moldova,995,268,3821,Simulated
2022-03-31,Poland,769,330,2829,Simulated
2022-03-31,Germany,397,309,9553,Simulated
2022-03-31,Romania,832,339,69,Simulated
2022-03-31,Moldova,488,237,2613,Simulated
2022-04-01,Poland,766,387,2925,Simulated
2022-04-01,Germany,286,118,9390,Simulated
2022-04-01,Romania,671,123,9937,Simulated
2022-04-01,Moldova,911,329,4891,Simulated
2022-04-02,Poland,655,348,2067,Simulated
2022-04-02,Germany,948,435,9967,Simulated
2022-04-02,Romania,928,418,4450,Simulated
2022-04-02,Moldova,272,224,7937,Simulated
2022-04-03,Poland,760,19,6542,Simulated
2022-04-03,Germany,212,295,4280,Simulated
2022-04-03,Romania,619,287,8849,Simulated
2022-04-03,Moldova,444,385,6690,Simulated
2022-04-04,Poland,853,453,4502,Simulated
2022-04-04,Germany,435,498,8879,Simulated
2022-04-04,Romania,847,257,94,Simulated
2022-04-04,Moldova,279,446,889,Simulated
2022-04-05,Poland,723,1,2308,Simulated
2022-04-05,Germany,483,399,3767,Simulated
2022-04-05,Romania,451,300,3970,Simulated
2022-04-05,Moldova,954,41,782,Simulated
2022-04-06,Poland,634,425,2233,Simulated
2022-04-06,Germany,704,419,882,Simulated
2022-04-06,Romania,648,302,4812,Simulated
2022-04-06,Moldova,166,129,5116,Simulated
2022-04-07,Poland,967,224,6686,Simulated
2022-04-07,Germany,976,291,7623,Simulated
2022-04-07,Romania,559,276,7658,Simulated
2022-04-07,Moldova,222,46,1492,Simulated
2022-04-08,Poland,352,341,7255,Simulated
2022-04-08,Germany,814,243,1414,Simulated
2022-04-08,Romania,801,470,2117,Simulated
2022-04-08,Moldova,769,16,9696,Simulated
2022-04-09,Poland,748,57,1993,Simulated
2022-04-09,Germany,514,393,8719,Simulated
2022-04-09,Romania,634,259,54,Simulated
2022-04-09,Moldova,628,53,8144,Simulated
2022-04-10,Poland,969,85,5113,Simulated
2022-04-10,Germany,380,191,9787,Simulated
2022-04-10,Romania,282,94,6131,Simulated
2022-04-10,Moldova,244,293,959,Simulated
2022-04-11,Poland,230,165,1661,Simulated
2022-04-11,Germany,808,437,1748,Simulated
2022-04-11,Romania,984,473,1698,Simulated
2022-04-11,Moldova,396,338,6225,Simulated
2022-04-12,Poland,983,130,4279,Simulated
2022-04-12,Germany,571,452,6548,Simulated
2022-04-12,Romania,287,312,436,Simulated
2022-04-12,Moldova,182,27,5956,Simulated
2022-04-13,Poland,240,319,5121,Simulated
2022-04-13,Germany,711,313,125,Simulated
2022-04-13,Romania,225,385,7618,Simulated
2022-04-13,Moldova,836,498,8472,Simulated
2022-04-14,Poland,177,294,8591,Simulated
2022-04-14,Germany,863,305,2714,Simulated
2022-04-14,Romania,713,494,5710,Simulated
2022-04-14,Moldova,351,398,6544,Simulated
2022-04-15,Poland,304,197,8889,Simulated
2022-04-15,Germany,657,53,8343,Simulated
2022-04-15,Romania,785,375,7256,Simulated
2022-04-15,Moldova,900,63,3746,Simulated
2022-04-16,Poland,341,497,9621,Simulated
2022-04-16,Germany,659,454,427,Simulated
2022-04-16,Romania,371,125,4196,Simulated
2022-04-16,Moldova,589,157,4542,Simulated
2022-04-17,Poland,500,290,4,Simulated
2022-04-17,Germany,299,363,2282,Simulated
2022-04-17,Romania,924,24,7503,Simulated
2022-04-17,Moldova,268,155,7616,Simulated
2022-04-18,Poland,400,469,3657,Simulated
2022-04-18,Germany,160,439,362,Simulated
2022-04-18,Romania,170,43,2191,Simulated
2022-04-18,Moldova,183,125,637,Simulated
2022-04-19,Poland,167,410,2726,Simulated
2022-04-19,Germany,407,322,95,Simulated
2022-04-19,Romania,539,475,3816,Simulated
2022-04-19,Moldova,335,227,1476,Simulated
2022-04-20,Poland,792,180,3093,Simulated
2022-04-20,Germany,494,16,3940,Simulated
2022-04-20,Romania,593,430,4572,Simulated
2022-04-20,Moldova,393,127,5227,Simulated
2022-04-21,Poland,167,370,2681,Simulated
2022-04-21,Germany,536,104,3111,Simulated
2022-04-21,Romania,555,30,4726,Simulated
2022-04-21,Moldova,819,393,3483,Simulated
2022-04-22,Poland,993,71,3960,Simulated
2022-04-22,Germany,420,147,893,Simulated
2022-04-22,Romania,604,377,8565,Simulated
2022-04-22,Moldova,122,125,8003,Simulated
2022-04-23,Poland,335,104,6432,Simulated
2022-04-23,Germany,686,321,9664,Simulated
2022-04-23,Romania,114,164,6520,Simulated
2022-04-23,Moldova,424,153,9732,Simulated
2022-04-24,Poland,175,169,2919,Simulated
2022-04-24,Germany,206,284,641,Simulated
2022-04-24,Romania,510,402,8293,Simulated
2022-04-24,Moldova,967,303,8628,Simulated
2022-04-25,Poland,747,68,7644,Simulated
2022-04-25,Germany,628,251,505,Simulated
2022-04-25,Romania,632,194,9427,Simulated
2022-04-25,Moldova,140,334,1310,Simulated
2022-04-26,Poland,768,270,7991,Simulated
2022-04-26,Germany,354,309,7004,Simulated
2022-04-26,Romania,923,151,6916,Simulated
2022-04-26,Moldova,418,291,6777,Simulated
2022-04-27,Poland,710,90,6093,Simulated
2022-04-27,Germany,319,428,4231,Simulated
2022-04-27,Romania,144,314,7128,Simulated
2022-04-27,Moldova,663,305,251,Simulated
2022-04-28,Poland,687,268,7179,Simulated
2022-04-28,Germany,599,150,66,Simulated
2022-04-28,Romania,156,276,3290,Simulated
2022-04-28,Moldova,332,124,7307,Simulated
2022-04-29,Poland,907,364,146,Simulated
2022-04-29,Germany,115,154,4760,Simulated
2022-04-29,Romania,216,154,8665,Simulated
2022-04-29,Moldova,441,155,4991,Simulated
2022-04-30,Poland,625,53,668,Simulated
2022-04-30,Germany,617,306,2986,Simulated
2022-04-30,Romania,527,188,9755,Simulated
2022-04-30,Moldova,784,104,5985,Simulated
2022-05-01,Poland,412,56,5532,Simulated
2022-05-01,Germany,224,348,6940,Simulated
2022-05-01,Romania,167,202,2686,Simulated
2022-05-01,Moldova,516,318,5065,Simulated
2022-05-02,Poland,546,338,4648,Simulated
2022-05-02,Germany,606,259,2470,Simulated
2022-05-02,Romania,934,23,9828,Simulated
2022-05-02,Moldova,421,458,8247,Simulated
2022-05-03,Poland,353,414,6580,Simulated
2022-05-03,Germany,425,180,4257,Simulated
2022-05-03,Romania,678,398,372,Simulated
2022-05-03,Moldova,517,18,5633,Simulated
2022-05-04,Poland,670,236,7840,Simulated
2022-05-04,Germany,608,378,8422,Simulated
2022-05-04,Romania,122,366,4847,Simulated
2022-05-04,Moldova,589,134,7588,Simulated
2022-05-05,Poland,942,265,3546,Simulated
2022-05-05,Germany,975,4,2736,Simulated
2022-05-05,Romania,889,30,4095,Simulated
2022-05-05,Moldova,456,209,380,Simulated
2022-05-06,Poland,370,146,6689,Simulated
2022-05-06,Germany,894,173,6915,Simulated
2022-05-06,Romania,576,406,9894,Simulated
2022-05-06,Moldova,594,366,8823,Simulated
2022-05-07,Poland,632,387,2134,Simulated
2022-05-07,Germany,706,96,1072,Simulated
2022-05-07,Romania,666,154,9620,Simulated
2022-05-07,Moldova,995,325,8728,Simulated
2022-05-08,Poland,229,389,8862,Simulated
2022-05-08,Germany,290,309,8030,Simulated
2022-05-08,Romania,663,400,969,Simulated
2022-05-08,Moldova,718,420,7546,Simulated
2022-05-09,Poland,775,355,6280,Simulated
2022-05-09,Germany,551,262,568,Simulated
2022-05-09,Romania,545,193,6432,Simulated
2022-05-09,Moldova,130,351,8050,Simulated
2022-05-10,Poland,474,305,1977,Simulated
2022-05-10,Germany,577,369,2659,Simulated
2022-05-10,Romania,990,287,6780,Simulated
2022-05-10,Moldova,895,411,9483,Simulated
2022-05-11,Poland,109,91,326,Simulated
2022-05-11,Germany,830,154,4850,Simulated
2022-05-11,Romania,338,303,7799,Simulated
2022-05-11,Moldova,791,289,434,Simulated
2022-05-12,Poland,158,353,3649,Simulated
2022-05-12,Germany,544,352,8076,Simulated
2022-05-12,Romania,455,105,8544,Simulated
2022-05-12,Moldova,372,202,3416,Simulated
2022-05-13,Poland,226,268,9279,Simulated
2022-05-13,Germany,514,49,5833,Simulated
2022-05-13,Romania,991,44,2983,Simulated
2022-05-13,Moldova,700,382,200,Simulated
2022-05-14,Poland,121,495,6876,Simulated
2022-05-14,Germany,104,460,278,Simulated
2022-05-14,Romania,132,128,7995,Simulated
2022-05-14,Moldova,867,264,9316,Simulated
2022-05-15,Poland,639,372,9556,Simulated
2022-05-15,Germany,115,139,3453,Simulated
2022-05-15,Romania,314,342,4804,Simulated
2022-05-15,Moldova,828,147,7650,Simulated
2022-05-16,Poland,895,81,6421,Simulated
2022-05-16,Germany,320,207,3632,Simulated
2022-05-16,Romania,278,383,6787,Simulated
2022-05-16,Moldova,227,359,8133,Simulated
2022-05-17,Poland,417,20,3083,Simulated
2022-05-17,Germany,789,435,5612,Simulated
2022-05-17,Romania,734,108,8907,Simulated
2022-05-17,Moldova,646,434,3610,Simulated
2022-05-18,Poland,893,138,3010,Simulated
2022-05-18,Germany,706,37,2544,Simulated
2022-05-18,Romania,431,307,6480,Simulated
2022-05-18,Moldova,635,436,2548,Simulated
2022-05-19,Poland,221,59,966,Simulated
2022-05-19,Germany,700,418,6375,Simulated
2022-05-19,Romania,384,363,6841,Simulated
2022-05-19,Moldova,829,8,9014,Simulated
2022-05-20,Poland,312,315,7485,Simulated
2022-05-20,Germany,374,257,6021,Simulated
2022-05-20,Romania,647,350,7774,Simulated
2022-05-20,Moldova,801,170,8301,Simulated
2022-05-21,Poland,702,376,1892,Simulated
2022-05-21,Germany,871,455,1703,Simulated
2022-05-21,Romania,364,35,9476,Simulated
2022-05-21,Moldova,589,150,9750,Simulated
2022-05-22,Poland,483,102,725,Simulated
2022-05-22,Germany,326,286,2016,Simulated
2022-05-22,Romania,802,475,4610,Simulated
2022-05-22,Moldova,132,105,4064,Simulated
2022-05-23,Poland,600,230,3491,Simulated
2022-05-23,Germany,413,414,2204,Simulated
2022-05-23,Romania,866,339,9996,Simulated
2022-05-23,Moldova,857,419,6635,Simulated
2022-05-24,Poland,757,386,8907,Simulated
2022-05-24,Germany,693,433,7105,Simulated
2022-05-24,Romania,138,230,8183,Simulated
2022-05-24,Moldova,624,481,1371,Simulated
2022-05-25,Poland,319,11,3270,Simulated
2022-05-25,Germany,885,104,1064,Simulated
2022-05-25,Romania,536,19,938,Simulated
2022-05-25,Moldova,154,205,9848,Simulated
2022-05-26,Poland,846,339,9970,Simulated
2022-05-26,Germany,924,338,9460,Simulated
2022-05-26,Romania,814,438,4132,Simulated
2022-05-26,Moldova,487,468,9801,Simulated
2022-05-27,Poland,314,146,8844,Simulated
2022-05-27,Germany,210,421,7355,Simulated
2022-05-27,Romania,786,302,3756,Simulated
2022-05-27,Moldova,977,287,8919,Simulated
2022-05-28,Poland,839,306,3071,Simulated
2022-05-28,Germany,239,457,181,Simulated
2022-05-28,Romania,318,241,1557,Simulated
2022-05-28,Moldova,852,15,5992,Simulated
2022-05-29,Poland,427,494,4843,Simulated
2022-05-29,Germany,837,371,2024,Simulated
2022-05-29,Romania,885,69,3761,Simulated
2022-05-29,Moldova,284,440,5190,Simulated
2022-05-30,Poland,989,122,9299,Simulated
2022-05-30,Germany,337,310,2959,Simulated
2022-05-30,Romania,554,174,9138,Simulated
2022-05-30,Moldova,297,363,6275,Simulated
2022-05-31,Poland,659,297,4769,Simulated
2022-05-31,Germany,403,173,5278,Simulated
2022-05-31,Romania,617,388,6353,Simulated
2022-05-31,Moldova,499,412,376,Simulated
2022-06-01,Poland,767,68,9183,Simulated
2022-06-01,Germany,363,126,5219,Simulated
2022-06-01,Romania,456,189,7984,Simulated
2022-06-01,Moldova,450,273,2229,Simulated
2022-06-02,Poland,722,404,6918,Simulated
2022-06-02,Germany,127,139,3479,Simulated
2022-06-02,Romania,784,8,2228,Simulated
2022-06-02,Moldova,538,206,2809,Simulated
2022-06-03,Poland,774,123,3789,Simulated
2022-06-03,Germany,995,147,1749,Simulated
2022-06-03,Romania,506,146,9368,Simulated
2022-06-03,Moldova,132,190,8985,Simulated
2022-06-04,Poland,478,404,854,Simulated
2022-06-04,Germany,947,281,7582,Simulated
2022-06-04,Romania,246,412,177,Simulated
2022-06-04,Moldova,753,366,4518,Simulated
2022-06-05,Poland,243,408,7403,Simulated
2022-06-05,Germany,504,182,2700,Simulated
2022-06-05,Romania,632,480,3106,Simulated
2022-06-05,Moldova,478,443,7966,Simulated
2022-06-06,Poland,175,69,1493,Simulated
2022-06-06,Germany,512,13,7580,Simulated
2022-06-06,Romania,620,35,2658,Simulated
2022-06-06,Moldova,595,74,2049,Simulated
2022-06-07,Poland,782,49,7807,Simulated
2022-06-07,Germany,341,269,8334,Simulated
2022-06-07,Romania,515,429,3591,Simulated
2022-06-07,Moldova,434,384,8347,Simulated
2022-06-08,Poland,604,287,2286,Simulated
2022-06-08,Germany,250,160,2321,Simulated
2022-06-08,Romania,330,303,3048,Simulated
2022-06-08,Moldova,171,65,7787,Simulated
2022-06-09,Poland,281,387,4873,Simulated
2022-06-09,Germany,519,277,9414,Simulated
2022-06-09,Romania,389,313,8084,Simulated
2022-06-09,Moldova,661,79,9328,Simulated
2022-06-10,Poland,334,9,8968,Simulated
2022-06-10,Germany,802,331,2149,Simulated
2022-06-10,Romania,563,329,8522,Simulated
2022-06-10,Moldova,492,265,4733,Simulated
2022-06-11,Poland,393,232,3897,Simulated
2022-06-11,Germany,929,51,2063,Simulated
2022-06-11,Romania,201,254,1422,Simulated
2022-06-11,Moldova,403,73,4286,Simulated
2022-06-12,Poland,699,359,3583,Simulated
2022-06-12,Germany,380,490,4840,Simulated
2022-06-12,Romania,384,284,930,Simulated
2022-06-12,Moldova,594,488,4202,Simulated
2022-06-13,Poland,409,343,4387,Simulated
2022-06-13,Germany,661,262,7227,Simulated
2022-06-13,Romania,720,334,8793,Simulated
2022-06-13,Moldova,525,406,784,Simulated
2022-06-14,Poland,633,44,7009,Simulated
2022-06-14,Germany,192,296,412,Simulated
2022-06-14,Romania,982,85,2528,Simulated
2022-06-14,Moldova,966,493,4783,Simulated
2022-06-15,Poland,759,405,4467,Simulated
2022-06-15,Germany,328,208,8871,Simulated
2022-06-15,Romania,448,389,3513,Simulated
2022-06-15,Moldova,714,289,733,Simulated
2022-06-16,Poland,743,374,981,Simulated
2022-06-16,Germany,791,359,3861,Simulated
2022-06-16,Romania,330,260,4316,Simulated
2022-06-16,Moldova,383,135,3107,Simulated
2022-06-17,Poland,108,444,7403,Simulated
2022-06-17,Germany,386,136,135,Simulated
2022-06-17,Romania,639,372,5972,Simulated
2022-06-17,Moldova,419,364,2232,Simulated
2022-06-18,Poland,224,218,1296,Simulated
2022-06-18,Germany,687,160,9074,Simulated
2022-06-18,Romania,403,336,7146,Simulated
2022-06-18,Moldova,972,129,8868,Simulated
2022-06-19,Poland,551,237,5783,Simulated
2022-06-19,Germany,789,0,5832,Simulated
2022-06-19,Romania,163,366,2728,Simulated
2022-06-19,Moldova,345,131,8072,Simulated
2022-06-20,Poland,331,74,3341,Simulated
2022-06-20,Germany,731,228,8761,Simulated
2022-06-20,Romania,109,167,3846,Simulated
2022-06-20,Moldova,938,237,7122,Simulated
2022-06-21,Poland,654,362,6692,Simulated
2022-06-21,Germany,464,62,3005,Simulated
2022-06-21,Romania,224,327,6890,Simulated
2022-06-21,Moldova,934,105,2069,Simulated
2022-06-22,Poland,150,443,6289,Simulated
2022-06-22,Germany,716,363,4976,Simulated
2022-06-22,Romania,225,51,7857,Simulated
2022-06-22,Moldova,319,198,4145,Simulated
2022-06-23,Poland,473,82,8619,Simulated
2022-06-23,Germany,317,495,8982,Simulated
2022-06-23,Romania,179,165,8842,Simulated
2022-06-23,Moldova,167,25,4657,Simulated
2022-06-24,Poland,750,152,2106,Simulated
2022-06-24,Germany,274,111,1550,Simulated
2022-06-24,Romania,804,351,2856,Simulated
2022-06-24,Moldova,728,444,5684,Simulated
2022-06-25,Poland,538,392,6709,Simulated
2022-06-25,Germany,646,412,4758,Simulated
2022-06-25,Romania,578,445,4181,Simulated
2022-06-25,Moldova,665,372,3692,Simulated
2022-06-26,Poland,327,295,2751,Simulated
2022-06-26,Germany,330,394,1475,Simulated
2022-06-26,Romania,914,161,2204,Simulated
2022-06-26,Moldova,794,212,4463,Simulated
2022-06-27,Poland,638,250,7582,Simulated
2022-06-27,Germany,842,487,3324,Simulated
2022-06-27,Romania,885,396,7148,Simulated
2022-06-27,Moldova,114,363,5218,Simulated
2022-06-28,Poland,438,88,1609,Simulated
2022-06-28,Germany,407,254,6956,Simulated
2022-06-28,Romania,645,32,9403,Simulated
2022-06-28,Moldova,171,289,3019,Simulated
2022-06-29,Poland,429,409,2285,Simulated
2022-06-29,Germany,972,296,6120,Simulated
2022-06-29,Romania,632,17,6133,Simulated
2022-06-29,Moldova,322,364,9514,Simulated
2022-06-30,Poland,122,299,8445,Simulated
2022-06-30,Germany,294,382,4173,Simulated
2022-06-30,Romania,307,164,4956,Simulated
2022-06-30,Moldova,408,288,3328,Simulated
2022-07-01,Poland,318,274,6760,Simulated
2022-07-01,Germany,715,334,1843,Simulated
2022-07-01,Romania,340,442,4365,Simulated
2022-07-01,Moldova,679,263,2613,Simulated
2022-07-02,Poland,599,103,2754,Simulated
2022-07-02,Germany,542,468,6385,Simulated
2022-07-02,Romania,940,499,6612,Simulated
2022-07-02,Moldova,248,280,8280,Simulated
2022-07-03,Poland,413,155,9797,Simulated
2022-07-03,Germany,991,414,6729,Simulated
2022-07-03,Romania,455,331,6765,Simulated
2022-07-03,Moldova,779,101,5355,Simulated
2022-07-04,Poland,532,240,6372,Simulated
2022-07-04,Germany,774,333,5637,Simulated
2022-07-04,Romania,922,395,2873,Simulated
2022-07-04,Moldova,681,155,8579,Simulated
2022-07-05,Poland,659,399,7313,Simulated
2022-07-05,Germany,153,180,3122,Simulated
2022-07-05,Romania,953,498,3889,Simulated
2022-07-05,Moldova,111,119,2685,Simulated
2022-07-06,Poland,786,485,1883,Simulated
2022-07-06,Germany,673,137,3403,Simulated
2022-07-06,Romania,613,414,8613,Simulated
2022-07-06,Moldova,509,298,4480,Simulated
2022-07-07,Poland,275,371,8446,Simulated
2022-07-07,Germany,919,428,4703,Simulated
2022-07-07,Romania,828,41,10,Simulated
2022-07-07,Moldova,649,20,3746,Simulated
2022-07-08,Poland,202,233,8145,Simulated
2022-07-08,Germany,254,177,7593,Simulated
2022-07-08,Romania,671,258,8339,Simulated
2022-07-08,Moldova,147,487,8121,Simulated
2022-07-09,Poland,797,453,6909,Simulated
2022-07-09,Germany,127,175,9519,Simulated
2022-07-09,Romania,326,171,667,Simulated
2022-07-09,Moldova,113,324,6537,Simulated
2022-07-10,Poland,612,107,8750,Simulated
2022-07-10,Germany,822,169,5803,Simulated
2022-07-10,Romania,577,286,1276,Simulated
2022-07-10,Moldova,294,11,7410,Simulated
2022-07-11,Poland,693,113,3115,Simulated
2022-07-11,Germany,914,409,9343,Simulated
2022-07-11,Romania,265,454,6451,Simulated
2022-07-11,Moldova,558,28,1963,Simulated
2022-07-12,Poland,891,39,1550,Simulated
2022-07-12,Germany,408,255,8082,Simulated
2022-07-12,Romania,767,170,9991,Simulated
2022-07-12,Moldova,870,478,9034,Simulated
2022-07-13,Poland,265,455,832,Simulated
2022-07-13,Germany,299,32,7659,Simulated
2022-07-13,Romania,205,173,9561,Simulated
2022-07-13,Moldova,612,318,8548,Simulated
2022-07-14,Poland,665,197,27,Simulated
2022-07-14,Germany,785,255,3130,Simulated
2022-07-14,Romania,709,497,7008,Simulated
2022-07-14,Moldova,230,139,8078,Simulated
2022-07-15,Poland,616,272,9118,Simulated
2022-07-15,Germany,700,265,6139,Simulated
2022-07-15,Romania,739,349,9051,Simulated
2022-07-15,Moldova,251,335,1834,Simulated
2022-07-16,Poland,983,272,148,Simulated
2022-07-16,Germany,683,200,1214,Simulated
2022-07-16,Romania,178,178,9070,Simulated
2022-07-16,Moldova,719,186,4430,Simulated
2022-07-17,Poland,515,402,1271,Simulated
2022-07-17,Germany,232,378,6378,Simulated
2022-07-17,Romania,586,265,6424,Simulated
2022-07-17,Moldova,215,177,3073,Simulated
2022-07-18,Poland,279,446,8635,Simulated
2022-07-18,Germany,979,68,6417,Simulated
2022-07-18,Romania,198,238,9637,Simulated
2022-07-18,Moldova,362,28,4310,Simulated
2022-07-19,Poland,508,451,4956,Simulated
2022-07-19,Germany,518,103,5965,Simulated
2022-07-19,Romania,587,49,5196,Simulated
2022-07-19,Moldova,323,335,5443,Simulated
2022-07-20,Poland,604,243,2797,Simulated
2022-07-20,Germany,883,474,9474,Simulated
2022-07-20,Romania,288,490,6321,Simulated
2022-07-20,Moldova,811,60,788,Simulated
2022-07-21,Poland,409,181,5635,Simulated
2022-07-21,Germany,129,98,9069,Simulated
2022-07-21,Romania,231,299,2616,Simulated
2022-07-21,Moldova,276,467,6226,Simulated
2022-07-22,Poland,634,207,514,Simulated
2022-07-22,Germany,741,406,1662,Simulated
2022-07-22,Romania,647,362,3027,Simulated
2022-07-22,Moldova,775,260,5807,Simulated
2022-07-23,Poland,721,369,5135,Simulated
2022-07-23,Germany,661,310,8864,Simulated
2022-07-23,Romania,348,2,2380,Simulated
2022-07-23,Moldova,443,5,4870,Simulated
2022-07-24,Poland,729,17,1282,Simulated
